"Date","Price","Open","High","Low","Change %"
"Jun 04, 2020","2.7173","2.7148","2.7455","2.7081","0.03%"
"Jun 03, 2020","2.7166","2.7075","2.7324","2.6939","0.35%"
"Jun 02, 2020","2.7071","2.6883","2.7108","2.6806","0.69%"
"Jun 01, 2020","2.6885","2.6668","2.6913","2.6547","0.66%"
"May 29, 2020","2.6708","2.6688","2.6767","2.6500","0.07%"
"May 28, 2020","2.6688","2.6633","2.6810","2.6502","0.16%"
"May 27, 2020","2.6644","2.6911","2.6986","2.6516","-0.96%"
"May 26, 2020","2.6902","2.7032","2.7120","2.6782","-0.48%"
"May 25, 2020","2.7032","2.6991","2.7129","2.6960","-0.10%"
"May 22, 2020","2.7060","2.7055","2.7134","2.6961","0.01%"
"May 21, 2020","2.7057","2.7248","2.7283","2.7022","-0.70%"
"May 20, 2020","2.7250","2.7237","2.7328","2.7143","0.06%"
"May 19, 2020","2.7233","2.7267","2.7370","2.7130","-0.16%"
"May 18, 2020","2.7276","2.7127","2.7352","2.7052","0.71%"
"May 15, 2020","2.7085","2.7270","2.7334","2.7043","-0.68%"
"May 14, 2020","2.7270","2.7253","2.7310","2.7106","0.08%"
"May 13, 2020","2.7248","2.7229","2.7376","2.7123","0.07%"
"May 12, 2020","2.7229","2.7373","2.7418","2.7185","-0.52%"
"May 11, 2020","2.7371","2.7410","2.7524","2.7234","-0.16%"
"May 08, 2020","2.7415","2.7320","2.7487","2.7271","0.36%"
"May 07, 2020","2.7315","2.6971","2.7416","2.6868","1.28%"
"May 06, 2020","2.6970","2.6923","2.7153","2.6867","0.16%"
"May 05, 2020","2.6927","2.6814","2.7020","2.6751","0.45%"
"May 04, 2020","2.6806","2.6688","2.6861","2.6556","0.46%"
"May 01, 2020","2.6681","2.7027","2.7055","2.6628","-1.30%"
"Apr 30, 2020","2.7034","2.7415","2.7494","2.7004","-1.37%"
"Apr 29, 2020","2.7409","2.7294","2.7445","2.7225","0.42%"
"Apr 28, 2020","2.7294","2.7085","2.7340","2.6971","0.78%"
"Apr 27, 2020","2.7085","2.6761","2.7113","2.6714","1.21%"
"Apr 24, 2020","2.6761","2.6849","2.6919","2.6692","-0.31%"
"Apr 23, 2020","2.6844","2.6574","2.6914","2.6451","1.01%"
"Apr 22, 2020","2.6576","2.6226","2.6633","2.6198","1.32%"
"Apr 21, 2020","2.6230","2.6382","2.6439","2.6137","-0.59%"
"Apr 20, 2020","2.6384","2.6412","2.6595","2.6342","-0.20%"
"Apr 17, 2020","2.6438","2.6530","2.6658","2.6356","-0.39%"
"Apr 16, 2020","2.6541","2.6281","2.6544","2.6137","0.99%"
"Apr 15, 2020","2.6281","2.6509","2.6557","2.6186","-0.86%"
"Apr 14, 2020","2.6509","2.6674","2.6765","2.6438","-0.62%"
