"Date","Price","Open","High","Low","Change %"
"Jun 23, 1999","5.1495","5.1288","5.1867","5.1139","0.40%"
"Jun 22, 1999","5.1291","5.0758","5.1411","5.0727","1.05%"
"Jun 21, 1999","5.0758","5.1055","5.1439","5.0678","-0.16%"
"Jun 18, 1999","5.0840","5.1657","5.1805","5.0790","-1.62%"
"Jun 17, 1999","5.1677","5.1964","5.2252","5.1645","-0.67%"
"Jun 16, 1999","5.2023","5.1634","5.2236","5.1402","0.73%"
"Jun 15, 1999","5.1647","5.2072","5.2180","5.1517","-1.02%"
"Jun 14, 1999","5.2180","5.1709","5.2211","5.1447","0.45%"
"Jun 11, 1999","5.1947","5.1747","5.2084","5.1592","0.25%"
"Jun 10, 1999","5.1817","5.1676","5.2058","5.1381","0.33%"
"Jun 09, 1999","5.1648","5.1534","5.2126","5.1326","0.20%"
"Jun 08, 1999","5.1546","5.2344","5.2497","5.1378","-1.60%"
"Jun 07, 1999","5.2382","5.2056","5.2753","5.1977","0.21%"
"Jun 04, 1999","5.2270","5.1742","5.2463","5.1631","0.92%"
"Jun 03, 1999","5.1795","5.1099","5.1913","5.0818","1.12%"
"Jun 02, 1999","5.1220","5.0667","5.1486","5.0536","1.00%"
"Jun 01, 1999","5.0712","5.1154","5.1278","5.0407","-0.95%"
"May 31, 1999","5.1197","5.1614","5.1650","5.0972","-0.66%"
"May 28, 1999","5.1537","5.1292","5.1761","5.1034","0.34%"
"May 27, 1999","5.1361","5.1210","5.1623","5.0964","0.36%"
"May 26, 1999","5.1177","5.0478","5.1189","5.0276","1.30%"
"May 25, 1999","5.0522","5.1262","5.1484","5.0398","-1.52%"
"May 24, 1999","5.1300","5.1064","5.1527","5.1006","0.28%"
"May 21, 1999","5.1157","5.1300","5.1820","5.1126","-0.20%"
"May 20, 1999","5.1261","5.1087","5.1554","5.0901","0.32%"
"May 19, 1999","5.1100","5.1324","5.1542","5.0894","-0.36%"
"May 18, 1999","5.1287","5.1045","5.1831","5.0856","0.40%"
"May 17, 1999","5.1082","5.0881","5.1299","5.0795","-0.11%"
"May 14, 1999","5.1136","5.1345","5.1601","5.0766","-0.44%"
"May 13, 1999","5.1361","5.1361","5.1786","5.1015","-0.08%"
"May 12, 1999","5.1400","5.1234","5.1658","5.1003","0.10%"
"May 11, 1999","5.1351","5.0753","5.1696","5.0498","1.04%"
"May 10, 1999","5.0824","5.1519","5.1583","5.0558","-1.20%"
"May 07, 1999","5.1441","5.1298","5.1641","5.0778","0.27%"
"May 06, 1999","5.1301","5.1116","5.1765","5.0903","0.46%"
"May 05, 1999","5.1065","5.1238","5.1366","5.0782","-0.32%"
"May 04, 1999","5.1229","5.1669","5.1695","5.1172","-0.99%"
"May 03, 1999","5.1739","5.1508","5.1983","5.1320","0.15%"
"Apr 30, 1999","5.1660","5.1363","5.1741","5.1032","0.47%"
"Apr 29, 1999","5.1417","5.1030","5.1548","5.0763","0.83%"
"Apr 28, 1999","5.0994","5.0571","5.1130","5.0375","0.95%"
"Apr 27, 1999","5.0513","5.0640","5.0779","5.0157","-0.32%"
"Apr 26, 1999","5.0677","5.0778","5.1301","5.0375","-0.27%"
"Apr 23, 1999","5.0816","5.0587","5.1086","5.0359","0.26%"
"Apr 22, 1999","5.0685","5.0310","5.0857","4.9974","0.59%"
"Apr 21, 1999","5.0389","5.0330","5.0742","5.0176","0.11%"
"Apr 20, 1999","5.0334","5.0489","5.0801","5.0174","-0.41%"
"Apr 19, 1999","5.0543","5.0067","5.0876","5.0038","0.86%"
"Apr 16, 1999","5.0112","4.9900","5.0322","4.9768","0.37%"
"Apr 15, 1999","4.9927","4.8870","5.0047","4.8786","1.91%"
"Apr 14, 1999","4.8989","4.9349","4.9638","4.8819","-0.85%"
"Apr 13, 1999","4.9408","4.9104","4.9582","4.8856","0.42%"
"Apr 12, 1999","4.9201","4.8970","4.9466","4.8903","0.25%"
"Apr 09, 1999","4.9077","4.9087","4.9344","4.8752","0.11%"
"Apr 08, 1999","4.9025","4.8645","4.9115","4.8198","0.55%"
"Apr 07, 1999","4.8757","4.8463","4.8914","4.8370","0.47%"
"Apr 06, 1999","4.8531","4.9051","4.9166","4.8250","-1.23%"
"Apr 05, 1999","4.9133","4.9016","4.9358","4.8962","0.12%"
"Apr 02, 1999","4.9076","4.9039","4.9210","4.8792","-0.00%"
"Apr 01, 1999","4.9078","4.9088","4.9522","4.8977","-0.26%"
"Mar 31, 1999","4.9205","4.8859","4.9355","4.8545","0.71%"
"Mar 30, 1999","4.8858","4.9102","4.9329","4.8589","-0.56%"
"Mar 29, 1999","4.9131","4.9283","4.9558","4.9012","-0.49%"
"Mar 26, 1999","4.9375","4.9639","4.9790","4.9086","-0.69%"
"Mar 25, 1999","4.9718","4.9493","4.9718","4.9193","0.37%"
"Mar 24, 1999","4.9536","4.9441","4.9718","4.9194","0.17%"
"Mar 23, 1999","4.9454","4.9219","4.9706","4.9055","0.32%"
"Mar 22, 1999","4.9296","4.8652","4.9311","4.8446","1.01%"
"Mar 19, 1999","4.8801","4.8477","4.8923","4.8202","0.59%"
"Mar 18, 1999","4.8515","4.8523","4.8794","4.8250","-0.13%"
"Mar 17, 1999","4.8577","4.8642","4.8988","4.8342","-0.23%"
"Mar 16, 1999","4.8691","4.9181","4.9619","4.8424","-0.96%"
"Mar 15, 1999","4.9163","4.9641","4.9739","4.9032","-1.03%"
"Mar 12, 1999","4.9674","4.9285","4.9756","4.9048","0.46%"
"Mar 11, 1999","4.9448","4.9647","5.0013","4.9068","-0.31%"
"Mar 10, 1999","4.9604","4.9770","5.0193","4.9283","-0.51%"
"Mar 09, 1999","4.9858","4.9648","5.0100","4.9392","0.26%"
"Mar 08, 1999","4.9729","4.9784","4.9980","4.9248","-0.07%"
"Mar 05, 1999","4.9765","4.9859","4.9960","4.9327","-0.14%"
