"Date","Price","Open","High","Low","Change %"
"Jun 18, 2020","6.5438","6.5554","6.5970","6.4991","-0.21%"
"Jun 17, 2020","6.5578","6.5872","6.6166","6.5486","-0.52%"
"Jun 16, 2020","6.5924","6.5988","6.6498","6.5622","-0.10%"
"Jun 15, 2020","6.5988","6.6062","6.6610","6.5526","-0.33%"
"Jun 12, 2020","6.6208","6.5852","6.6396","6.5594","0.38%"
"Jun 11, 2020","6.5958","6.4946","6.6015","6.4749","1.56%"
"Jun 10, 2020","6.4946","6.4487","6.5606","6.4355","0.71%"
"Jun 09, 2020","6.4487","6.4955","6.5220","6.4435","-0.80%"
"Jun 08, 2020","6.5007","6.4864","6.5196","6.4566","0.23%"
"Jun 05, 2020","6.4859","6.4960","6.5320","6.4645","-0.17%"
"Jun 04, 2020","6.4969","6.5402","6.5789","6.4715","-0.73%"
"Jun 03, 2020","6.5444","6.5828","6.6245","6.5325","-0.57%"
"Jun 02, 2020","6.5819","6.5338","6.6039","6.5139","0.73%"
"Jun 01, 2020","6.5339","6.4668","6.5855","6.4542","0.81%"
"May 29, 2020","6.4815","6.4891","6.5420","6.4320","-0.14%"
"May 28, 2020","6.4907","6.5343","6.5658","6.4810","-0.64%"
"May 27, 2020","6.5325","6.5772","6.6019","6.5071","-0.72%"
"May 26, 2020","6.5801","6.5809","6.6090","6.5624","-0.01%"
"May 25, 2020","6.5809","6.5276","6.5912","6.5202","0.67%"
"May 22, 2020","6.5370","6.5238","6.5844","6.5076","0.16%"
"May 21, 2020","6.5262","6.5377","6.5539","6.5099","-0.14%"
"May 20, 2020","6.5352","6.5265","6.5596","6.5106","0.15%"
"May 19, 2020","6.5255","6.5429","6.6170","6.5062","-0.25%"
"May 18, 2020","6.5419","6.5722","6.6054","6.5212","-0.35%"
"May 15, 2020","6.5651","6.5586","6.5996","6.5423","0.10%"
"May 14, 2020","6.5586","6.5619","6.5919","6.5389","-0.05%"
"May 13, 2020","6.5620","6.5831","6.6473","6.5241","-0.30%"
