"Date","Price","Open","High","Low","Change %"
"Sep 04, 2019","0.9410","0.9397","0.9427","0.9389","0.14%"
"Sep 03, 2019","0.9397","0.9341","0.9408","0.9319","0.58%"
"Sep 02, 2019","0.9343","0.9320","0.9360","0.9312","-0.02%"
"Aug 30, 2019","0.9345","0.9333","0.9353","0.9316","0.12%"
"Aug 29, 2019","0.9334","0.9354","0.9375","0.9330","-0.19%"
"Aug 28, 2019","0.9352","0.9381","0.9390","0.9347","-0.31%"
"Aug 27, 2019","0.9381","0.9408","0.9415","0.9369","-0.29%"
"Aug 26, 2019","0.9408","0.9341","0.9421","0.9307","0.38%"
"Aug 23, 2019","0.9372","0.9365","0.9389","0.9354","0.11%"
"Aug 22, 2019","0.9362","0.9387","0.9393","0.9356","-0.27%"
"Aug 21, 2019","0.9387","0.9384","0.9403","0.9371","0.00%"
"Aug 20, 2019","0.9387","0.9381","0.9414","0.9368","0.07%"
"Aug 19, 2019","0.9380","0.9394","0.9420","0.9372","-0.09%"
"Aug 16, 2019","0.9388","0.9412","0.9428","0.9378","-0.25%"
"Aug 15, 2019","0.9412","0.9381","0.9429","0.9374","0.34%"
"Aug 14, 2019","0.9380","0.9408","0.9423","0.9348","-0.30%"
"Aug 13, 2019","0.9408","0.9366","0.9423","0.9356","0.45%"
"Aug 12, 2019","0.9366","0.9406","0.9417","0.9350","-0.39%"
"Aug 09, 2019","0.9403","0.9400","0.9426","0.9366","0.04%"
"Aug 08, 2019","0.9399","0.9340","0.9430","0.9336","0.62%"
"Aug 07, 2019","0.9341","0.9339","0.9367","0.9244","0.00%"
"Aug 06, 2019","0.9341","0.9357","0.9397","0.9325","-0.16%"
"Aug 05, 2019","0.9356","0.9353","0.9383","0.9326","-0.07%"
"Aug 02, 2019","0.9363","0.9364","0.9381","0.9321","0.00%"
"Aug 01, 2019","0.9363","0.9406","0.9432","0.9351","-0.44%"
"Jul 31, 2019","0.9404","0.9417","0.9452","0.9382","-0.13%"
"Jul 30, 2019","0.9416","0.9458","0.9464","0.9414","-0.43%"
"Jul 29, 2019","0.9457","0.9475","0.9480","0.9448","-0.10%"
"Jul 26, 2019","0.9466","0.9506","0.9515","0.9454","-0.43%"
"Jul 25, 2019","0.9507","0.9522","0.9533","0.9489","-0.14%"
"Jul 24, 2019","0.9520","0.9564","0.9569","0.9510","-0.47%"
"Jul 23, 2019","0.9565","0.9573","0.9595","0.9548","-0.10%"
"Jul 22, 2019","0.9575","0.9576","0.9600","0.9569","-0.06%"
"Jul 19, 2019","0.9581","0.9601","0.9606","0.9573","-0.20%"
"Jul 18, 2019","0.9600","0.9541","0.9606","0.9528","0.63%"
"Jul 17, 2019","0.9540","0.9526","0.9557","0.9516","0.14%"
"Jul 16, 2019","0.9527","0.9547","0.9554","0.9519","-0.21%"
"Jul 15, 2019","0.9547","0.9503","0.9551","0.9503","0.19%"
"Jul 12, 2019","0.9529","0.9464","0.9541","0.9456","0.67%"
"Jul 11, 2019","0.9466","0.9451","0.9474","0.9435","0.13%"
"Jul 10, 2019","0.9454","0.9435","0.9466","0.9409","0.18%"
"Jul 09, 2019","0.9437","0.9480","0.9487","0.9420","-0.45%"
"Jul 08, 2019","0.9480","0.9485","0.9517","0.9469","-0.11%"
"Jul 05, 2019","0.9490","0.9518","0.9534","0.9474","-0.34%"
"Jul 04, 2019","0.9522","0.9536","0.9553","0.9515","-0.10%"
"Jul 03, 2019","0.9532","0.9486","0.9549","0.9466","0.50%"
"Jul 02, 2019","0.9485","0.9439","0.9491","0.9436","0.44%"
"Jul 01, 2019","0.9443","0.9497","0.9514","0.9431","-0.57%"
"Jun 28, 2019","0.9497","0.9488","0.9506","0.9469","0.12%"
"Jun 27, 2019","0.9486","0.9461","0.9489","0.9456","0.24%"
"Jun 26, 2019","0.9463","0.9428","0.9470","0.9418","0.37%"
"Jun 25, 2019","0.9428","0.9424","0.9443","0.9407","0.04%"
"Jun 24, 2019","0.9424","0.9386","0.9434","0.9378","0.43%"
"Jun 21, 2019","0.9384","0.9389","0.9409","0.9369","-0.05%"
"Jun 20, 2019","0.9389","0.9382","0.9405","0.9357","0.10%"
"Jun 19, 2019","0.9380","0.9398","0.9413","0.9373","-0.20%"
"Jun 18, 2019","0.9399","0.9396","0.9409","0.9364","0.04%"
"Jun 17, 2019","0.9395","0.9415","0.9436","0.9387","-0.30%"
"Jun 14, 2019","0.9423","0.9450","0.9457","0.9408","-0.28%"
"Jun 13, 2019","0.9449","0.9470","0.9479","0.9426","-0.23%"
"Jun 12, 2019","0.9471","0.9494","0.9499","0.9463","-0.26%"
"Jun 11, 2019","0.9496","0.9517","0.9522","0.9478","-0.19%"
"Jun 10, 2019","0.9514","0.9537","0.9571","0.9502","-0.23%"
"Jun 07, 2019","0.9536","0.9520","0.9560","0.9510","0.17%"
"Jun 06, 2019","0.9520","0.9525","0.9534","0.9510","-0.05%"
"Jun 05, 2019","0.9525","0.9551","0.9559","0.9515","-0.28%"
"Jun 04, 2019","0.9552","0.9535","0.9575","0.9515","0.17%"
"Jun 03, 2019","0.9536","0.9528","0.9546","0.9510","0.01%"
"May 31, 2019","0.9535","0.9536","0.9560","0.9521","0.03%"
"May 30, 2019","0.9532","0.9555","0.9565","0.9515","-0.23%"
"May 29, 2019","0.9554","0.9552","0.9576","0.9541","0.01%"
"May 28, 2019","0.9553","0.9516","0.9557","0.9509","0.39%"
"May 27, 2019","0.9516","0.9510","0.9548","0.9505","-0.07%"
"May 24, 2019","0.9523","0.9521","0.9539","0.9490","0.04%"
"May 23, 2019","0.9519","0.9494","0.9524","0.9477","0.28%"
"May 22, 2019","0.9492","0.9478","0.9507","0.9465","0.15%"
"May 21, 2019","0.9478","0.9504","0.9528","0.9456","-0.34%"
"May 20, 2019","0.9510","0.9539","0.9563","0.9487","0.54%"
"May 17, 2019","0.9459","0.9460","0.9476","0.9448","-0.02%"
"May 16, 2019","0.9461","0.9480","0.9487","0.9440","-0.20%"
"May 15, 2019","0.9480","0.9503","0.9512","0.9465","-0.25%"
"May 14, 2019","0.9504","0.9515","0.9532","0.9494","-0.13%"
"May 13, 2019","0.9516","0.9529","0.9554","0.9509","-0.26%"
"May 10, 2019","0.9541","0.9535","0.9562","0.9519","0.05%"
"May 09, 2019","0.9536","0.9523","0.9549","0.9498","0.15%"
"May 08, 2019","0.9522","0.9556","0.9567","0.9516","-0.38%"
"May 07, 2019","0.9558","0.9532","0.9607","0.9516","0.30%"
"May 06, 2019","0.9529","0.9497","0.9545","0.9472","-0.28%"
"May 03, 2019","0.9556","0.9543","0.9558","0.9522","0.19%"
"May 02, 2019","0.9538","0.9553","0.9569","0.9529","-0.15%"
"May 01, 2019","0.9552","0.9591","0.9600","0.9541","-0.40%"
"Apr 30, 2019","0.9590","0.9607","0.9620","0.9571","-0.20%"
"Apr 29, 2019","0.9609","0.9580","0.9617","0.9574","0.21%"
"Apr 26, 2019","0.9589","0.9561","0.9607","0.9549","0.27%"
"Apr 25, 2019","0.9563","0.9556","0.9576","0.9542","0.09%"
"Apr 24, 2019","0.9554","0.9637","0.9641","0.9543","-0.86%"
